fpr,tpr
0.0,0.0
0.0,0.0010141987829614604
0.0,0.002028397565922921
0.0,0.004056795131845842
0.0,0.06693711967545639
0.0010141987829614604,0.06693711967545639
0.0010141987829614604,0.0720081135902637
0.002028397565922921,0.0720081135902637
0.002028397565922921,0.12474645030425964
0.0030425963488843813,0.12474645030425964
0.0030425963488843813,0.12981744421906694
0.004056795131845842,0.12981744421906694
0.004056795131845842,0.13387423935091278
0.005070993914807302,0.13387423935091278
0.005070993914807302,0.1359026369168357
0.006085192697768763,0.1359026369168357
0.006085192697768763,0.13691683569979715
0.007099391480730223,0.13691683569979715
0.007099391480730223,0.15517241379310345
0.008113590263691683,0.15517241379310345
0.008113590263691683,0.1663286004056795
0.009127789046653144,0.1663286004056795
0.009127789046653144,0.1724137931034483
0.010141987829614604,0.1724137931034483
0.010141987829614604,0.17748478701825557
0.011156186612576065,0.17748478701825557
0.011156186612576065,0.1896551724137931
0.012170385395537525,0.1896551724137931
0.012170385395537525,0.1947261663286004
0.013184584178498986,0.1947261663286004
0.013184584178498986,0.20588235294117646
0.014198782961460446,0.20588235294117646
0.014198782961460446,0.21602434077079108
0.015212981744421906,0.21602434077079108
0.015212981744421906,0.2525354969574036
0.016227180527383367,0.2525354969574036
0.016227180527383367,0.28904665314401623
0.017241379310344827,0.28904665314401623
0.017241379310344827,0.32454361054766734
0.018255578093306288,0.32454361054766734
0.018255578093306288,0.3275862068965517
0.019269776876267748,0.3275862068965517
0.019269776876267748,0.34787018255578095
0.02028397565922921,0.34787018255578095
0.02028397565922921,0.34989858012170383
0.02129817444219067,0.34989858012170383
0.02129817444219067,0.3509127789046653
0.02231237322515213,0.3509127789046653
0.02231237322515213,0.3620689655172414
0.02332657200811359,0.3620689655172414
0.02332657200811359,0.3691683569979716
0.02535496957403651,0.3691683569979716
0.02535496957403651,0.37018255578093306
0.02636916835699797,0.37018255578093306
0.02636916835699797,0.39148073022312374
0.02738336713995943,0.39148073022312374
0.02738336713995943,0.40365111561866124
0.028397565922920892,0.40365111561866124
0.028397565922920892,0.41683569979716023
0.029411764705882353,0.41683569979716023
0.029411764705882353,0.4330628803245436
0.030425963488843813,0.4330628803245436
0.030425963488843813,0.43610547667342797
0.03144016227180527,0.43610547667342797
0.03144016227180527,0.4411764705882353
0.032454361054766734,0.4411764705882353
0.032454361054766734,0.45030425963488846
0.033468559837728194,0.45030425963488846
0.033468559837728194,0.4513184584178499
0.035496957403651115,0.4513184584178499
0.035496957403651115,0.45233265720081134
0.036511156186612576,0.45233265720081134
0.036511156186612576,0.4553752535496957
0.037525354969574036,0.4553752535496957
0.037525354969574036,0.4645030425963489
0.038539553752535496,0.4645030425963489
0.038539553752535496,0.4665314401622718
0.03955375253549696,0.4665314401622718
0.03955375253549696,0.48377281947261663
0.04158215010141988,0.48377281947261663
0.04158215010141988,0.4949290060851927
0.0436105476673428,0.4949290060851927
0.0436105476673428,0.4969574036511156
0.04462474645030426,0.4969574036511156
0.04462474645030426,0.49797160243407707
0.04563894523326572,0.49797160243407707
0.04563894523326572,0.5
0.04665314401622718,0.5
0.04665314401622718,0.5202839756592292
0.04766734279918864,0.5202839756592292
0.04766734279918864,0.5233265720081136
0.04969574036511156,0.5233265720081136
0.04969574036511156,0.5243407707910751
0.05070993914807302,0.5243407707910751
0.05070993914807302,0.5253549695740365
0.05273833671399594,0.5253549695740365
0.05273833671399594,0.5365111561866126
0.0537525354969574,0.5365111561866126
