recall,precision
1.0,0.5
1.0,0.5002536783358701
1.0,0.500507614213198
1.0,0.5007618080243779
1.0,0.5010162601626016
1.0,0.5012709710218607
1.0,0.5015259409969481
1.0,0.5017811704834606
1.0,0.5020366598778004
1.0,0.5022924095771778
1.0,0.5025484199796126
1.0,0.5028046914839368
1.0,0.503061224489796
1.0,0.5033180193976519
1.0,0.5035750766087844
1.0,0.5038323965252938
1.0,0.5040899795501023
1.0,0.5043478260869565
1.0,0.5046059365404298
1.0,0.5048643113159242
1.0,0.5051229508196722
1.0,0.5053818554587391
1.0,0.5056410256410256
1.0,0.5059004617752694
1.0,0.5061601642710473
1.0,0.5064201335387776
1.0,0.5066803699897225
1.0,0.5069408740359898
1.0,0.507201646090535
1.0,0.5074626865671642
1.0,0.5077239958805355
1.0,0.5079855744461618
1.0,0.5082474226804123
1.0,0.5085095410005157
1.0,0.5087719298245614
1.0,0.5090345895715023
1.0,0.5092975206611571
1.0,0.5095607235142119
1.0,0.5098241985522234
1.0,0.5100879461976203
1.0,0.510351966873706
1.0,0.5106162610046608
1.0,0.510880829015544
1.0,0.5111456713322965
1.0,0.5114107883817427
1.0,0.5116761805915931
0.9989858012170385,0.5114226375908619
0.9989858012170385,0.5116883116883116
0.9989858012170385,0.511954261954262
0.9989858012170385,0.5122204888195527
0.9989858012170385,0.5124869927159209
0.9989858012170385,0.5127537740760021
0.9989858012170385,0.5130208333333334
0.9989858012170385,0.5132881709223553
0.9989858012170385,0.513555787278415
0.9989858012170385,0.5138236828377674
0.9989858012170385,0.5140918580375783
0.9989858012170385,0.5143603133159269
0.9989858012170385,0.5146290491118077
0.9989858012170385,0.5148980658651333
0.9989858012170385,0.5151673640167364
0.9989858012170385,0.5154369440083726
0.9989858012170385,0.5157068062827225
0.9989858012170385,0.5159769512833945
0.9989858012170385,0.5162473794549266
0.9989858012170385,0.5165180912427897
0.9989858012170385,0.5167890870933893
0.9989858012170385,0.5170603674540682
0.9989858012170385,0.5173319327731093
0.9989858012170385,0.5176037834997372
0.9989858012170385,0.517875920084122
0.9989858012170385,0.5181483429773803
0.9989858012170385,0.5184210526315789
0.9989858012170385,0.5186940494997367
0.9989858012170385,0.5189673340358272
0.9989858012170385,0.5192409066947812
0.9989858012170385,0.5195147679324894
0.9989858012170385,0.5197889182058048
0.9989858012170385,0.5200633579725449
0.9989858012170385,0.520338087691495
0.9989858012170385,0.5206131078224101
0.9989858012170385,0.520888418826018
0.9989858012170385,0.5211640211640212
0.9989858012170385,0.5214399152991
0.9989858012170385,0.5217161016949152
0.9989858012170385,0.5219925808161102
0.9989858012170385,0.5222693531283139
0.9989858012170385,0.5225464190981433
0.9989858012170385,0.522823779193206
0.9989858012170385,0.5231014338821031
0.9989858012170385,0.5233793836344315
0.9989858012170385,0.5236576289207868
0.9989858012170385,0.523936170212766
